-0.54117,-0.94821,-1.24355,-0.69768,-0.00248
1.24889,-1.52602,0.15495,0.62781,0.11763
-1.24550,1.28229,0.26259,0.02141,-0.28778
0.49224,-1.84798,0.20635,0.22986,-0.29823
-0.62671,0.18533,-1.18287,1.48642,0.24422
-0.67008,-0.00131,1.71534,-1.11119,-0.22383
1.53893,0.09533,-0.11617,-0.52064,1.07241
0.17391,0.70570,0.49607,-0.46171,1.67611
-0.13472,0.49570,0.07008,1.04179,-1.58880
-0.68470,0.26171,1.28267,0.13071,0.59891
-1.66667,0.11493,-0.13926,-0.42627,0.04948
-0.94867,-1.42547,-0.04705,0.46922,0.86733
0.31883,-0.25055,0.84456,-1.03153,1.13928
0.92847,-0.14611,0.65653,1.12210,-0.45771
0.06212,1.04558,-0.76540,0.24738,-0.20045
-0.83981,-1.03323,0.92018,0.34866,0.05207
-0.69709,0.54892,-1.82856,1.16050,1.17350
-0.78995,0.49306,-1.79466,-1.26147,0.44929
-0.03969,0.39585,-0.69269,-1.33448,-0.37956
0.52103,0.74772,-0.02794,-1.23934,-1.20930
